id,node_ids,road_name
1,838393152 838393223,Mahatma Gandhi Marg
2,838393223 938622356,Mahatma Gandhi Marg
3,938622356 427851220 12211578600 12211581303,Mahatma Gandhi Marg
4,12211581303 250075337 427851208 427851207,Mahatma Gandhi Marg
5,427851207 250075335 250075332 13294299112 2001957701,Mahatma Gandhi Marg
6,271373909 11840865849 273278117 1986214234,
7,395135061 11780481160 11780481158,Cariappa Marg
8,11780481158 10302282710 10302283808,Cariappa Marg
9,10302283808 316376884,Cariappa Marg
10,316376884 10302283804,Cariappa Marg
11,10302283804 316376882 9867278444 6669126000 5179521948 1986129642 5179521971 1986129643,Cariappa Marg
12,1986129643 1986129647,Cariappa Marg
13,1986129647 5179520898 1986129651 5179520896 6884686391 6438635041 6192600558,Cariappa Marg
14,6192600558 4930240993,Cariappa Marg
15,4930240993 12905274977,Cariappa Marg
16,12905274977 4930240981,Cariappa Marg
17,4930240981 2056802169,Cariappa Marg
18,277419819 5985299725 7047751868 6997689007 7047751873 9794096392 9794096397 9794096398 5985299778,
19,5985299778 9792383700 9792383701 277419824,
20,249237060 6758768236,Rajpur Road
21,6758768236 9840724191 249237061 2508000035 249237062 249237063,Rajpur Road
22,249237063 249237064 9803638857 7249645396 249237065 7249645399 2945827917 2508000033 2508000037 9803641282 2508000044 2945827928 2508000050 2508000047,Rajpur Road
23,249237063 9840724199 6752908476 9803638859 10559256596 249237066 2834092341 2834082346 249237067 2834053375 10275618294 12098285462 249237068 11219541938,Lala Bansidhar Gupta Road
24,11219541938 12475218797 249237069,Lala Bansidhar Gupta Road
25,249237069 913485898,Lala Bansidhar Gupta Road
26,913486256 913487014,Mahatma Gandhi Marg
27,913487014 9861631537 6636523837 560646480 3754156026 6646079588 560646475,Mahatma Gandhi Marg
28,1762944950 1191294751 1763007729 1869716906,Rajiv Chowk
29,1869716906 1191294795 1763007749 11462925637 1191294760 1869716894 10685759180 1869716893 1762945118 1869716889,Rajiv Chowk
30,1869716889 1191294767 1869716885 1869716870 11462925628 1191294780 1869716868 10922054276 1869716866 1191294765,Rajiv Chowk
31,1191294765 1762944925 12247930690 1191294803,Rajiv Chowk
32,1191294803 11462925596 1191294690 1869716891,Rajiv Chowk
33,1869716891 11462925593 1191294825 5485952438 939091038 5485952437 11462925625 3947464981 1191294688 10734111722 5485952436 1869716913,Rajiv Chowk
34,1869716913 1763007723 1393278504 1869716920 1393278678 5485952435 10924124883 1763007739 928561491 1709594983 267198394,Rajiv Chowk
35,267198394 5485952434 1763007752 5485952433 5485952432 939091095,Rajiv Chowk
36,939091095 5485952431 6761961054 1762944950,Rajiv Chowk
37,249783291 5485951708 10248656809 6656817024 1762944968 1762945123 10248624606 5485952479 11964115179 5681450581,Outer Circle
38,5681450581 249783293,Outer Circle
39,314506006 6351660221 267075196,
40,267075196 6351660222 1873490489,
41,1873490489 561255056 3661548639 1873490492,
42,1873490492 3661548650 1309626362,
43,1309626362 249786898 1309626365,
44,1309626365 3661543079 3217361693,
45,9006449720 11601587785,
46,11601587785 939091121 12281394882 12281451205 9006449693 939086577 939091189 938622714 939086546 939086595 5357262483 5357262485 6569267271,
47,6569267271 5357262484 5563794552 939086427,
48,249786918 267197859 267197858 6717668043 6717668045 6717668046 6717668047 6717668062 6717668049 6717668061 6717668050 6717668060 6717668051 6717668052 6717668059 6717668053 6717668054 267197857 6174545394 6174545391 6174545393 6174545392 267197856 6174545385,Pandara Road
49,6702715325 1762989541 5681450578 1762989517,Windsor Place
50,1762989517 5681450576 6702699405 5681450575 1762989512 6702699408,Windsor Place
51,6702699408 5681450574 249786859 5681450573 1762989499 6666317455,Windsor Place
52,249791934 10264542489 6385537599 5792664486,Sansad Marg
53,5339323505 11565005064 266809471 266809470 266809469 1754729471 3745099601 266809468 1754729505 9852811937 266809467 943830347 9767010916 266809466 5339323483 5339323485,Mother Teresa Crescent
54,910451131 910451081,Lala Lajpat Rai Path
55,12882778423 12882778426 418811459 472513613,Rd. No. 224
56,472513613 418811461 2204326672 9979735174 1478739447 418811443 418811440 427807737,Rd. No. 224
57,1805785701 6117399686 6188346480 6188346483 4235039006 6188349486 4235039009 4235039014 4235039017 4235039020 4235039021 6544154477 1788608644 6117400908 6544154467 4235039035 4235039036 1788608667 6117400905 6188349490 11368545139 6188349493 6188349496 1763902647 6188349499 6188349502 4235039063 6188349508 11799964874 6188349511 6188349514 12126424626 11368545138 4235039081 6188349521 250100411 6188349517 5235538823 5235538822 4235039095 9894590224 4235039105 10198875075 4235039113 4235039118 10538900854 4235039119 5235546628 6117397580,Veer Savarkar Marg
58,938622292 6174530732 3746076258 6174530723,Subramaniyam Bharti Marg
